"","ENSG00000007968.7","ENSG00000080839.12","ENSG00000096968.14","ENSG00000101412.13","ENSG00000103479.16","ENSG00000105173.14","ENSG00000105810.10","ENSG00000110092.4","ENSG00000111276.11","ENSG00000112242.15","ENSG00000115415.20","ENSG00000118971.9","ENSG00000123374.11","ENSG00000124762.14","ENSG00000126561.17","ENSG00000129173.13","ENSG00000133101.10","ENSG00000133740.11","ENSG00000134057.15","ENSG00000135446.17","ENSG00000136997.21","ENSG00000139687.16","ENSG00000147883.12","ENSG00000147889.18","ENSG00000162434.13","ENSG00000164045.12","ENSG00000165891.16","ENSG00000168610.16","ENSG00000169016.17","ENSG00000170312.16","ENSG00000170581.14","ENSG00000173757.10","ENSG00000197122.12","ENSG00000205250.9"
"TCGA-38-7271-01A-11R-2039-07",103,355,940,221,2135,67,765,6327,2885,712,11742,2194,505,4830,2263,56,7,244,599,1325,3483,1952,363,78,9325,66,27,11759,273,394,3149,2918,1832,2089
"TCGA-55-7914-01A-11R-2170-07",131,425,1033,563,2706,211,453,11707,2561,1718,13244,1638,708,1908,2681,270,7,1037,1180,1922,12181,2497,1550,195,5019,107,57,14069,573,1366,6050,2515,6685,2355
"TCGA-95-7043-01A-11R-1949-07",123,379,281,916,1247,812,152,1966,2064,814,4987,434,543,371,508,535,5,208,1073,1114,1639,1246,1814,766,2040,76,42,16958,555,786,2066,2356,9958,1835
"TCGA-73-4658-01A-01R-1755-07",160,531,775,399,1723,185,903,12465,2811,1328,8578,1866,867,10801,1406,127,13,265,774,3053,3449,2561,943,389,9286,80,40,12227,404,753,3874,2302,3523,1980
"TCGA-86-8076-01A-31R-2241-07",203,507,1382,238,4188,155,1433,8374,5175,1302,27994,2467,745,6324,2690,206,335,695,663,2816,10551,3328,1340,698,11676,121,67,24638,673,578,6735,3369,3558,3001
"TCGA-55-7726-01A-11R-2170-07",343,957,552,711,1088,277,4362,14155,1528,923,9456,1582,832,4724,683,321,21,133,1618,1178,973,2309,255,18,6959,253,439,8860,228,1662,5068,1177,3573,960
"TCGA-44-6147-01A-11R-A278-07",139,882,2188,268,5765,149,2361,7085,3352,779,18570,3571,473,1878,1455,181,143,590,457,1180,1825,1818,1503,144,9668,80,126,17655,363,616,6635,2958,2054,1888
"TCGA-50-5932-01A-11R-1755-07",80,350,591,986,6063,119,450,33264,3968,1843,14332,765,787,7640,1196,335,1,608,1565,2613,1480,3117,215,47,12809,142,92,17199,705,849,8153,5730,6706,3294
"TCGA-44-2661-01A-01R-1107-07",165,448,1630,390,4326,145,635,8203,5000,1091,20403,1340,714,5094,2145,234,31,678,1017,2665,1278,4117,1255,74,4987,54,74,14261,732,1498,5237,3228,3143,2980
"TCGA-86-7954-01A-11R-2187-07",719,1397,3180,1451,8516,427,2003,9314,3673,4959,86087,2099,3701,4722,3576,948,52,736,3354,18002,1882,3756,5443,2193,15469,357,264,29025,1560,2314,57269,4345,9978,6692
